id,type,debit,credit,cash_operation
1,CAPITAL,CASH,EQ,C_FIN
2,DECAPITALIZE,EQ,CASH,C_FIN
3,EXPENDITURE,EXP,CASH,C_OPS
4,SALARY_DECLARE,COS,SAL,
5,SALARY,SAL,CASH,C_OPS
6,LOAN,CASH,DEBT,C_FIN
7,REPAYMENT,DEBT,CASH,C_FIN
8,EXP_DECLARE,EXP,PAY,
9,PAY_DECLARE,COS,PAY,
10,PAY,PAY,CASH,C_OPS
11,REVENUE,ACC,REV,
12,REVENUE_FAIL,COS,ACC,
13,REVENUE_REC,CASH,ACC,C_OPS
14,PPE_BUY,PPE,CASH,C_INV
15,DEPRECIATION,EXP,PPE,
16,ASSET_BUY,OA,CASH,C_INV
17,ASSET_DESTROY,EXP,OA,
18,DIVIDEND_PAY,DIV,CASH,C_FIN
19,BAD_DEBT,BAD,ACC,
20,DEBT_WRITE_OFF,COS,BAD,
21,ALLOWANCE,COS,ALL,
22,ALL_WRITE_OFF,ALL,BAD,
